id;phrase;class
1;Un partido político en un país Europeo propone luchar contra la homosexualidad mediante la introducción de un impuesto, prohibiéndola en el espacio público y alentando a los homosexuales a curarse. En una declaración publicada uno de los estrategas del partido, estima que la homosexualidad degeneró en una pseudoreligión que se propaga. Está convencido de que Europa experimenta un declive demográfico y que los homosexuales constituyen un riesgo adicional.;LGBTQIA+fóbico
2;Vamos, lárgate de aquí, lo que tú quieres es ligarme, yo no me follo a maricas.;LGBTQIA+fóbico
3;La homosexualidad es una aberración contra la naturaleza y una desviación moral;LGBTQIA+fóbico
4;Los homosexuales son una amenaza para la familia tradicional y la sociedad en general.;LGBTQIA+fóbico
5;Le dice a su perro: ¡Muérdelo, es un marica!;LGBTQIA+fóbico
6;Los gays y lesbianas están enfermos mentalmente y necesitan tratamiento para curarse;LGBTQIA+fóbico
7;La homosexualidad es una elección pecaminosa y los homosexuales merecen castigo;LGBTQIA+fóbico
8;Los homosexuales son una influencia corruptora para los niños y deben ser excluidos de su entorno;LGBTQIA+fóbico
9;La homosexualidad es antinatural y va en contra de los principios religiosos y culturales de nuestra sociedad.;LGBTQIA+fóbico
10;Su hijo es un maricón. Hagan lo que tienen que hacer con él.;LGBTQIA+fóbico
11;¿Por qué no existe un día del orgullo hetero?;LGBTQIA+fóbico
12;No soy homofóbico, Yo tengo una amiga lesbiana, yo tengo un amigo trans...;LGBTQIA+fóbico
13;¿Quién es el chico (o chica) en vuestra relación?;LGBTQIA+fóbico
14;¡Los gays son tan divertidos!;LGBTQIA+fóbico
15;Si eres gay, no hace falta ir pregonándolo.;LGBTQIA+fóbico
16;No tengo nada en contra de los gays, pero...;LGBTQIA+fóbico
17;Estás confundido con lo de tu transexualidad, cuando madures decidirás;LGBTQIA+fóbico
18;Ser gay o lesbiana vale, pero ser bisexual es vicio;LGBTQIA+fóbico
19;¿Cuál era tu nombre de nacimiento? (a una persona transgénero);No LGBTQIA+fóbico
20;Si eres transexual, al menos no seas gay;LGBTQIA+fóbico
21;¿Eres hermafrodita? (a una persona intersexual);LGBTQIA+fóbico
22;No se te nota lo gay;LGBTQIA+fóbico
23;Eso es gay;LGBTQIA+fóbico
24;¿Un beso entre hombres?, delante de los niños, no.;LGBTQIA+fóbico
25;Antes de iniciar, el joven le dice al instructor militar yo no me siento en condiciones, no creo que lo vaya a lograr y el coronel hace caso omiso. Salen a caminar, el joven se desvanece, se desmaya. El coronel repetidamente lo humilla, esto por testimonios de otros conscriptos, lo trata de cobarde, lo trata de maricón, lo trata de que ese no es un soldado y que no pueden tener a personas así.;LGBTQIA+fóbico
26;Un gendarme lo humilla, lo trata de «maricón» y le dice que debería estar muerto.;LGBTQIA+fóbico
27;Le dijo que se tomara el pelo, que ya había tolerado mucho con permitirle que lo tuviera largo. Luego en privado le señaló que era un hombre y llamó a sus apoderados para que le presentaran certificados médicos que acreditaran su condición de trans.;LGBTQIA+fóbico
28;En la oportunidad, el funcionario no tuvo problemas en reconocer su homosexualidad, sin embargo, él nos indica que tiempo después fue maltratado por su superior, al señalar que los maricones traen mala suerte a la unidad.;LGBTQIA+fóbico
29;Homosexualidad como sinónimo de sodomita, pederasta y maricón.;LGBTQIA+fóbico
30;Ser gay es *la perversión del orden espiritual de una persona*;LGBTQIA+fóbico
31;En el anuario, que nos entregó el colegio a modo de regalo, se refirieron a mí de forma inadecuada, llamándome «fleta» e incluso «maraca» (…) Jamás había sido directamente discriminada por mi orientación sexual;LGBTQIA+fóbico
32;Nunca hubiese pensado que eres gay…no se te nota,;LGBTQIA+fóbico
33;¿En serio? deberías conocer a mi otro amigo gay, podrían salir.,;LGBTQIA+fóbico
34;¿Y cómo fue cuando saliste del clóset?,;LGBTQIA+fóbico
35;¡Amo a los gays! ¿Seamos amigos?;LGBTQIA+fóbico
36;Tú eres gay así que ayúdame ¿qué me pongo?,;LGBTQIA+fóbico
37;¿Estás seguro que eres gay? ¿Saliste alguna vez con una mujer?,;LGBTQIA+fóbico
38;¿No te dan ganas de ser mujer? (a un hombre trans);LGBTQIA+fóbico
39;No tengo problemas con los gays pero no entiendo por qué tienen que ser tan locas.;LGBTQIA+fóbico
40;¿En serio es gay? ¡Ay, qué desperdicio! A mí que me gustaba tanto.;LGBTQIA+fóbico
41;Decir maricón solo es una broma.;LGBTQIA+fóbico
42;Es trans, pero parece una chica de verdad.;No LGBTQIA+fóbico
43;Si tengo un hijo gay, lo querría igual;LGBTQIA+fóbico
44;El sol sale para todos, y cuando llueve todos nos mojamos.;No LGBTQIA+fóbico
45;En sí, la homosexualidad está tan limitada como la heterosexualidad. Lo ideal sería ser capaz de amar a una mujer o a un hombre, a cualquier ser humano, sin sentir miedo, inhibición u obligación.;No LGBTQIA+fóbico
46;LLeva tu orgullo. Vive tu orgullo. Sé tu orgullo. Y sé amable. Todos merecen ser felices. Los derechos humanos pertenecen a todas las personas.;No LGBTQIA+fóbico
47;El respeto a la diversidad es fundamental en una sociedad inclusiva.;No LGBTQIA+fóbico
48;Todos merecemos vivir y amar libremente, sin miedo a ser juzgados.;No LGBTQIA+fóbico
49;La identidad de cada persona es única y debe ser celebrada.;No LGBTQIA+fóbico
50;El apoyo a la comunidad LGBTQ+ es esencial para promover la igualdad.;No LGBTQIA+fóbico
51;La educación sobre diversidad sexual y de género fomenta la aceptación.;No LGBTQIA+fóbico
52;Los derechos LGBTQ+ son derechos humanos.;No LGBTQIA+fóbico
53;La igualdad no significa menos para otros, significa justicia para todos.;No LGBTQIA+fóbico
54;El amor es diverso y no conoce de géneros.;No LGBTQIA+fóbico
55;La aceptación comienza con la comprensión y el respeto por las diferencias.;No LGBTQIA+fóbico
56;Es esencial proteger los derechos legales de la comunidad LGBTQ+.;No LGBTQIA+fóbico
57;La visibilidad de la comunidad LGBTQ+ ayuda a romper estereotipos.;No LGBTQIA+fóbico
58;Celebrar el orgullo es celebrar la identidad y la libertad.;No LGBTQIA+fóbico
59;La lucha por los derechos LGBTQ+ es una lucha por la dignidad humana.;No LGBTQIA+fóbico
60;La inclusión de personas LGBTQ+ en todos los ámbitos fortalece la sociedad.;No LGBTQIA+fóbico
61;Ser aliado implica comprometerse activamente con la igualdad y la justicia.;No LGBTQIA+fóbico
62;Homosexualidad: el estudio que descarta la idea de que la atracción por las personas del mismo sexo depende de un único gen;No LGBTQIA+fóbico
63;Creo que cuando amamos quien somos, cuando nos aceptamos completamente, somos imparables.;No LGBTQIA+fóbico
64;La lucha por la igualdad de los gays y las lesbianas es parte de la lucha más amplia por la justicia en todos los lugares;No LGBTQIA+fóbico
65;Soy gay. Y también soy una persona amable, una persona divertida, una persona compasiva, una persona generosa, una persona inteligente.;No LGBTQIA+fóbico
66;Ningún orgullo para algunos de nosotros sin liberación para todos nosotros.;No LGBTQIA+fóbico
67;No es nuestra diferencia lo que nos divide. Es nuestra incapacidad para reconocer, aceptar y celebrar esas diferencias.;No LGBTQIA+fóbico
68;Espero que cada profesional gay diga: 'Puedes hacerlo, puedes tener una buena vida, puedes ser feliz. Puedes trabajar donde quieras, y espero que lo hagas.;No LGBTQIA+fóbico
69;Nuestra lucha es una lucha verdaderamente humanitaria. Por lo tanto, es una lucha de los oprimidos. No importa cuáles sean sus características personales;No LGBTQIA+fóbico
70;No importa si amas a hombres o a mujeres, si eres bi, gay, o lesbiana, porque la verdad es que nacimos así.;No LGBTQIA+fóbico
71;No importa quién eres o a quién amas, todos merecen las mismas oportunidades de éxito en esta vida.;No LGBTQIA+fóbico
72;Lo ideal sería ser capaz de amar a una mujer o a un hombre, a cualquier ser humano, sin sentir miedo, inhibición u obligación.;No LGBTQIA+fóbico
73;La mama dice: si tengo una hija mujer, porfavor le gusten los hombres.;LGBTQIA+fóbico
74;Quieren normalizar un trastorno psicológico.;LGBTQIA+fóbico
75;Yo no soy religioso y sigo viendo una mujer.;LGBTQIA+fóbico
76;Eres mujer aunque te creas hombre.;LGBTQIA+fóbico
77;No nada de cavernícola y soy cristiana y decir la verdad no es odio ni nada ...mujer lo eres y lo serás por siempre .;LGBTQIA+fóbico
78;Los hombres trans son lesbianas .;LGBTQIA+fóbico
79;El que se mueva es gay.;LGBTQIA+fóbico
80;Ahora todos son trans por moda.;LGBTQIA+fóbico
81;La biología dice que eres un hombre.;LGBTQIA+fóbico
82;Si tuviera hijos homosexuales los abandonaría.;LGBTQIA+fóbico
83;Ser trans es una etapa.;LGBTQIA+fóbico
84;Si los crías bien no serán homosexuales.;LGBTQIA+fóbico
85;"Ahora falta una ley para que sean fusilados
y si es por votacion lo haría (refieriendose a las ley transfobica de Perú).";LGBTQIA+fóbico
86;Hombre fingiendo ser mujer.;LGBTQIA+fóbico
